Year,fossil fuel and industry,land-use change emissions,total,min,max
1750,0,,,,
1751,0,,,,
1752,0,,,,
1753,0,,,,
1754,0,,,,
1755,0,,,,
1756,0,,,,
1757,0,,,,
1758,0,,,,
1759,0,,,,
1760,0,,,,
1761,0,,,,
1762,0,,,,
1763,0,,,,
1764,0,,,,
1765,0,,,,
1766,0,,,,
1767,0,,,,
1768,0,,,,
1769,0,,,,
1770,0,,,,
1771,0,,,,
1772,0,,,,
1773,0,,,,
1774,0,,,,
1775,0,,,,
1776,0,,,,
1777,0,,,,
1778,0,,,,
1779,0,,,,
1780,0,,,,
1781,0.01,,,,
1782,0.01,,,,
1783,0.01,,,,
1784,0.01,,,,
1785,0.01,,,,
1786,0.01,,,,
1787,0.01,,,,
1788,0.01,,,,
1789,0.01,,,,
1790,0.01,,,,
1791,0.01,,,,
1792,0.01,,,,
1793,0.01,,,,
1794,0.01,,,,
1795,0.01,,,,
1796,0.01,,,,
1797,0.01,,,,
1798,0.01,,,,
1799,0.01,,,,
1800,0.01,,,,
1801,0.01,,,,
1802,0.01,,,,
1803,0.01,,,,
1804,0.01,,,,
1805,0.01,,,,
1806,0.01,,,,
1807,0.01,,,,
1808,0.01,,,,
1809,0.01,,,,
1810,0.01,,,,
1811,0.01,,,,
1812,0.01,,,,
1813,0.01,,,,
1814,0.01,,,,
1815,0.01,,,,
1816,0.01,,,,
1817,0.01,,,,
1818,0.01,,,,
1819,0.01,,,,
1820,0.01,,,,
1821,0.01,,,,
1822,0.02,,,,
1823,0.02,,,,
1824,0.02,,,,
1825,0.02,,,,
1826,0.02,,,,
1827,0.02,,,,
1828,0.02,,,,
1829,0.02,,,,
1830,0.02,,,,
1831,0.02,,,,
1832,0.02,,,,
1833,0.02,,,,
1834,0.02,,,,
1835,0.03,,,,
1836,0.03,,,,
1837,0.03,,,,
1838,0.03,,,,
1839,0.03,,,,
1840,0.03,,,,
1841,0.03,,,,
1842,0.04,,,,
1843,0.04,,,,
1844,0.04,,,,
1845,0.04,,,,
1846,0.04,,,,
1847,0.05,,,,
1848,0.05,,,,
1849,0.05,,,,
