year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
1850,-0.675,-0.333,-0.591,-0.589,-0.508,-0.344,-0.16,-0.208,-0.385,-0.533,-0.283,-0.404,-0.418
1850,53,47,44,48,49,49,52,55,57,55,58,58,
1851,-0.201,-0.469,-0.646,-0.542,-0.198,-0.137,-0.097,-0.102,-0.091,-0.008,-0.082,-0.228,-0.233
1851,58,55,56,55,54,53,54,59,47,51,48,48,
1852,-0.375,-0.477,-0.56,-0.585,-0.127,-0.084,0.005,-0.136,-0.002,-0.172,-0.305,0.065,-0.229
1852,53,55,56,56,56,59,58,58,55,55,54,58,
1853,-0.233,-0.404,-0.28,-0.386,-0.268,-0.142,-0.083,-0.057,-0.25,-0.392,-0.411,-0.337,-0.27
1853,59,59,58,55,60,60,60,64,64,69,61,64,
1854,-0.381,-0.361,-0.243,-0.334,-0.291,-0.299,-0.179,-0.239,-0.217,-0.095,-0.41,-0.45,-0.292
1854,66,64,64,65,65,61,65,66,61,64,62,59,
1855,-0.159,-0.313,-0.344,-0.218,-0.388,-0.333,-0.333,-0.2,-0.271,-0.195,-0.389,-0.42,-0.297
1855,61,67,61,62,67,63,69,67,64,58,62,56,
1856,-0.076,-0.337,-0.358,-0.316,-0.285,-0.214,-0.225,-0.238,-0.388,-0.438,-0.552,-0.418,-0.32
1856,60,66,70,69,67,64,66,72,65,67,71,65,
1857,-0.495,-0.435,-0.479,-0.644,-0.659,-0.304,-0.411,-0.369,-0.38,-0.473,-0.685,-0.274,-0.467
1857,67,68,67,66,70,67,69,64,67,71,63,58,
1858,-0.295,-0.477,-0.548,-0.428,-0.532,-0.38,-0.336,-0.278,-0.283,-0.289,-0.366,-0.455,-0.389
1858,60,65,61,67,65,62,68,70,70,67,62,65,
1859,-0.381,-0.344,-0.314,-0.157,-0.152,-0.25,-0.312,-0.245,-0.394,-0.255,-0.288,-0.284,-0.281
1859,65,63,66,65,67,70,66,66,63,61,60,59,
1860,-0.391,-0.468,-0.786,-0.306,-0.364,-0.211,-0.185,-0.114,-0.131,-0.346,-0.605,-0.774,-0.39
1860,60,56,57,63,64,57,57,57,48,53,52,50,
1861,-0.918,-0.625,-0.416,-0.386,-0.661,-0.252,-0.298,-0.041,-0.27,-0.477,-0.458,-0.351,-0.429
1861,49,51,46,42,38,40,44,45,46,46,43,45,
1862,-0.825,-0.716,-0.535,-0.522,-0.348,-0.307,-0.345,-0.456,-0.362,-0.449,-0.678,-0.895,-0.536
1862,47,49,44,46,51,53,49,49,53,51,45,43,
1863,-0.076,-0.25,-0.355,-0.288,-0.384,-0.369,-0.312,-0.297,-0.352,-0.504,-0.441,-0.503,-0.344
1863,47,44,45,47,50,50,43,45,41,39,39,39,
1864,-0.853,-0.593,-0.499,-0.544,-0.323,-0.113,-0.26,-0.308,-0.443,-0.603,-0.456,-0.59,-0.465
1864,42,43,43,42,45,49,46,46,42,42,46,44,
1865,-0.176,-0.467,-0.661,-0.448,-0.378,-0.196,-0.216,-0.212,-0.171,-0.269,-0.337,-0.461,-0.333
1865,42,42,41,43,43,43,40,46,41,38,39,40,
1866,-0.132,-0.401,-0.682,-0.454,-0.572,-0.099,-0.009,-0.249,-0.378,-0.421,-0.298,-0.4,-0.341
1866,41,43,40,41,41,42,43,42,41,42,41,42,
1867,-0.405,-0.354,-0.681,-0.421,-0.574,-0.35,-0.253,-0.33,-0.148,-0.125,-0.196,-0.445,-0.357
1867,38,41,46,43,41,43,45,42,43,42,42,40,
1868,-0.685,-0.693,-0.335,-0.363,-0.286,-0.298,-0.06,-0.193,-0.345,-0.23,-0.423,-0.314,-0.352
1868,41,42,46,46,46,46,50,52,57,51,54,51,
1869,-0.336,0.131,-0.626,-0.406,-0.31,-0.385,-0.417,-0.168,-0.172,-0.293,-0.282,-0.537,-0.317
1869,49,52,51,50,52,52,48,53,64,61,61,57,
1870,-0.211,-0.454,-0.498,-0.333,-0.298,-0.231,-0.073,-0.258,-0.202,-0.443,-0.266,-0.666,-0.328
1870,61,62,62,58,57,61,63,54,55,48,58,54,
1871,-0.558,-0.672,-0.172,-0.222,-0.362,-0.286,-0.082,-0.322,-0.361,-0.373,-0.523,-0.489,-0.369
1871,54,52,56,65,57,58,55,61,58,52,57,57,
1872,-0.599,-0.62,-0.524,-0.385,-0.142,-0.279,-0.146,0.009,-0.176,-0.204,-0.322,-0.548,-0.328
1872,61,59,57,61,60,60,58,61,64,65,61,67,
1873,-0.262,-0.283,-0.409,-0.481,-0.351,-0.321,-0.176,-0.228,-0.405,-0.391,-0.463,-0.328,-0.341
1873,62,58,65,61,64,66,63,71,58,66,66,65,
1874,-0.199,-0.438,-0.673,-0.437,-0.334,-0.566,-0.167,-0.296,-0.168,-0.471,-0.418,-0.312,-0.373
1874,59,63,66,65,56,57,63,62,65,69,66,62,
1875,-0.571,-0.479,-0.564,-0.358,-0.273,-0.28,-0.182,-0.246,-0.234,-0.233,-0.509,-0.577,-0.376
1875,62,66,68,65,67,69,73,71,65,66,65,67,
1876,-0.514,-0.337,-0.362,-0.424,-0.59,-0.352,-0.214,-0.327,-0.418,-0.3,-0.607,-0.643,-0.424
1876,63,64,64,61,66,73,68,65,58,65,66,67,
1877,-0.411,-0.209,-0.091,-0.346,-0.411,-0.138,-0.016,0.211,0.108,0.113,0.034,-0.056,-0.101
1877,65,63,68,64,62,65,64,68,72,64,64,69,
1878,-0.07,0.229,0.361,0.189,-0.122,0.01,-0.077,-0.047,0.021,-0.165,-0.143,-0.323,-0.011
1878,71,70,63,70,65,64,67,77,72,68,70,72,
1879,-0.238,-0.266,-0.258,-0.382,-0.344,-0.283,-0.264,-0.265,-0.236,-0.159,-0.397,-0.55,-0.304
1879,66,70,75,73,74,78,75,77,72,70,71,71,
1880,-0.394,-0.45,-0.194,-0.338,-0.325,-0.381,-0.315,-0.107,-0.297,-0.391,-0.281,-0.317,-0.316
1880,71,75,70,65,65,74,75,77,74,74,75,76,
1881,-0.215,-0.225,-0.248,-0.063,-0.122,-0.399,-0.194,-0.138,-0.301,-0.231,-0.381,-0.271,-0.232
1881,74,76,76,77,72,73,74,78,78,79,78,78,
1882,-0.025,-0.117,-0.177,-0.315,-0.326,-0.392,-0.341,-0.245,-0.15,-0.399,-0.404,-0.655,-0.296
1882,78,78,81,81,79,78,82,80,77,79,77,78,
1883,-0.473,-0.485,-0.266,-0.439,-0.34,-0.19,-0.219,-0.288,-0.306,-0.34,-0.396,-0.415,-0.346
1883,80,77,80,79,80,78,82,83,85,85,83,83,
1884,-0.444,-0.333,-0.505,-0.509,-0.566,-0.514,-0.566,-0.429,-0.504,-0.463,-0.585,-0.49,-0.492
1884,78,82,79,83,87,86,84,85,84,85,85,83,
1885,-0.656,-0.553,-0.421,-0.635,-0.606,-0.637,-0.42,-0.405,-0.357,-0.362,-0.384,-0.218,-0.471
1885,84,84,86,86,85,83,83,85,86,87,86,87,
1886,-0.48,-0.479,-0.487,-0.362,-0.293,-0.502,-0.302,-0.457,-0.391,-0.413,-0.491,-0.395,-0.421
1886,85,88,88,86,87,88,87,86,86,87,85,87,
1887,-0.744,-0.659,-0.445,-0.483,-0.529,-0.526,-0.389,-0.446,-0.389,-0.445,-0.435,-0.497,-0.499
1887,88,87,86,87,83,84,86,85,86,85,87,83,
1888,-0.618,-0.587,-0.597,-0.352,-0.411,-0.322,-0.339,-0.311,-0.325,-0.166,-0.265,-0.259,-0.379
1888,82,84,87,86,83,84,84,84,81,83,82,80,
1889,-0.297,-0.007,-0.087,-0.087,-0.158,-0.213,-0.281,-0.307,-0.342,-0.37,-0.506,-0.344,-0.25
1889,80,78,82,84,81,77,78,81,82,79,80,83,
1890,-0.534,-0.465,-0.611,-0.494,-0.536,-0.495,-0.489,-0.467,-0.482,-0.439,-0.67,-0.399,-0.507
1890,83,77,76,79,80,79,80,82,79,76,78,77,
